accuracy,client,client_trust_score,client_score
84.36666666666666,0,0.07125351839004467,0.07125351839004467
84.36666666666666,1,0.10424764939512891,0.10424764939512891
84.36666666666666,2,0.10355765157603147,0.10355765157603149
84.36666666666666,3,0.10177291768257453,0.10177291768257453
84.36666666666666,4,0.10162991510486621,0.10162991510486621
84.36666666666666,5,0.10253136364019026,0.10253136364019026
84.36666666666666,6,0.1033157495783255,0.1033157495783255
84.36666666666666,7,0.10354383453710825,0.10354383453710825
84.36666666666666,8,0.10557385862292519,0.10557385862292519
84.36666666666666,9,0.10257354147280498,0.10257354147280498
95.025,0,0.008159604373165626,0.10928345689511137
95.025,1,0.10839174712231539,0.11179225399647567
95.025,2,0.11088007343188,0.11182150176118143
95.025,3,0.11090908254639696,0.11115965119602897
95.025,4,0.1102526324200103,0.11217031829429389
95.025,5,0.1112550528746004,0.11292664751653114
95.025,6,0.11200521074960833,0.1097210121659582
95.025,7,0.1088257321152607,0.1090940322842186
95.025,8,0.10820386814130603,0.11203112589020067
96.825,0,0.000813560715510158,0.10913853504566327
96.825,1,0.10904974422100179,0.11272132564411073
96.825,2,0.11262962000176646,0.11275919239309878
96.825,3,0.1126674559438551,0.11040711914249814
96.825,4,0.11031729624765114,0.11185064611642415
96.825,5,0.11175964882473939,0.1134469938383797
96.825,6,0.11335469782090006,0.10938786723582163
96.825,7,0.10929887356428512,0.10927174636124566
96.825,8,0.10918284716109096,0.111016574222758
97.625,0,7.813772566061808e-05,0.10955283041233159
97.625,1,0.10954427020332348,0.11296466490266596
97.625,2,0.11295583810067045,0.11190560324139172
97.625,3,0.11189685919206575,0.11076643950948703
97.625,4,0.11075778447182424,0.1115585209191804
97.625,5,0.11154980399007773,0.1140334683875123
97.625,6,0.1140245580716433,0.10943631637266991
97.625,7,0.10942776526780387,0.10984725115614462
97.625,8,0.1098386679417692,0.1099349050986164
97.975,0,1.1993502904478803e-05,0.11000987253232913
97.975,1,0.11000855312860339,0.11309191019978644
97.975,2,0.11309055383163298,0.11250624412045397
97.975,3,0.11250489477648834,0.10919822823455579
97.975,4,0.10919691856528829,0.1112976753478877
97.975,5,0.11129634049889514,0.11402314772207911
97.975,6,0.11402178018512571,0.1089456512978233
97.975,7,0.10894434465783802,0.11120480154260406
97.975,8,0.11120346780749375,0.10972246900248052
