client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,0.6557182669639587,59.312056737588655,,
Adversarial Client 0,1,0.2504989802837372,61.205673758865245,,
Adversarial Client 0,2,0.16390642523765564,62.06382978723404,,
Adversarial Client 0,3,0.12476664036512375,62.43617021276596,,
Adversarial Client 0,4,0.09972869604825974,62.751773049645394,,
Adversarial Client 0,5,0.08648522198200226,62.776595744680854,,
Adversarial Client 0,6,0.07704917341470718,62.95390070921986,,
Adversarial Client 0,7,0.0699632465839386,63.11702127659574,,
Adversarial Client 0,8,0.06421344727277756,63.187943262411345,,
Adversarial Client 0,9,0.05843323469161987,63.322695035460995,,
Adversarial Client 0,10,0.053300801664590836,63.319148936170215,,
Adversarial Client 0,11,0.05201396718621254,63.4113475177305,,
Adversarial Client 0,12,0.0476098358631134,63.43971631205674,,
Adversarial Client 0,13,0.043305668979883194,63.48581560283688,,
Adversarial Client 0,14,0.04292941838502884,63.53191489361702,,
Adversarial Client 0,15,0.03737126663327217,63.51063829787234,,
Adversarial Client 0,16,0.03642464429140091,63.59574468085106,,
Adversarial Client 0,17,0.03502513840794563,63.641843971631204,,
Adversarial Client 0,18,0.030402474105358124,63.656028368794324,,
Adversarial Client 0,19,0.03167978301644325,63.687943262411345,,
Client 1,0,0.6565375924110413,59.205673758865245,,
Client 1,1,0.24791210889816284,61.10283687943262,,
Client 1,2,0.162013441324234,62.04964539007092,,
Client 1,3,0.1233983114361763,62.51063829787234,,
Client 1,4,0.10061467438936234,62.843971631205676,,
Client 1,5,0.08558972924947739,62.99290780141844,,
Client 1,6,0.07800626754760742,63.06382978723404,,
Client 1,7,0.06758305430412292,63.166666666666664,,
Client 1,8,0.05996556580066681,63.223404255319146,,
Client 1,9,0.057079341262578964,63.308510638297875,,
Client 1,10,0.052268438041210175,63.36879432624114,,
Client 1,11,0.048384346067905426,63.41843971631206,,
Client 1,12,0.04579094797372818,63.4822695035461,,
Client 1,13,0.041799161583185196,63.5177304964539,,
Client 1,14,0.039917562156915665,63.54609929078014,,
Client 1,15,0.0365096777677536,63.5354609929078,,
Client 1,16,0.0351458340883255,63.58510638297872,,
Client 1,17,0.035104501992464066,63.645390070921984,,
Client 1,18,0.03179524466395378,63.673758865248224,,
Client 1,19,0.030651560053229332,63.695035460992905,,
