accuracy,client,client_trust_score,client_score
6.533333333333333,0,0.2,0.2
6.533333333333333,1,0.2,0.2
6.533333333333333,2,0.2,0.2
6.533333333333333,3,0.2,0.2
6.533333333333333,4,0.2,0.2
11.575,0,0.2,0.2
11.575,1,0.2,0.2
11.575,2,0.2,0.2
11.575,3,0.2,0.2
11.575,4,0.2,0.2
16.216666666666665,0,0.2,0.2
16.216666666666665,1,0.2,0.2
16.216666666666665,2,0.2,0.2
16.216666666666665,3,0.2,0.2
16.216666666666665,4,0.2,0.2
17.883333333333333,0,0.2,0.2
17.883333333333333,1,0.2,0.2
17.883333333333333,2,0.2,0.2
17.883333333333333,3,0.2,0.2
17.883333333333333,4,0.2,0.2
17.216666666666665,0,0.2,0.2
17.216666666666665,1,0.2,0.2
17.216666666666665,2,0.2,0.2
17.216666666666665,3,0.2,0.2
17.216666666666665,4,0.2,0.2
