accuracy,client,client_trust_score,client_score
10.608333333333333,0,0.2,0.2783687943262411
10.608333333333333,1,0.2,0.16312056737588654
10.608333333333333,2,0.2,0.17198581560283688
10.608333333333333,3,0.2,0.17553191489361702
10.608333333333333,4,0.2,0.21099290780141847
18.816666666666666,0,0.2,0.2783687943262411
18.816666666666666,1,0.2,0.16312056737588654
18.816666666666666,2,0.2,0.17198581560283688
18.816666666666666,3,0.2,0.17553191489361702
18.816666666666666,4,0.2,0.21099290780141847
16.216666666666665,0,0.2,0.2783687943262411
16.216666666666665,1,0.2,0.16312056737588654
16.216666666666665,2,0.2,0.17198581560283688
16.216666666666665,3,0.2,0.17553191489361702
16.216666666666665,4,0.2,0.21099290780141847
10.225,0,0.2,0.2783687943262411
10.225,1,0.2,0.16312056737588654
10.225,2,0.2,0.17198581560283688
10.225,3,0.2,0.17553191489361702
10.225,4,0.2,0.21099290780141847
10.1,0,0.2,0.2783687943262411
10.1,1,0.2,0.16312056737588654
10.1,2,0.2,0.17198581560283688
10.1,3,0.2,0.17553191489361702
10.1,4,0.2,0.21099290780141847
