client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,1.2642232179641724,52.278688524590166,,
Adversarial Client 0,1,0.4995247721672058,57.24590163934426,,
Adversarial Client 0,2,0.3654683828353882,58.131147540983605,,
Adversarial Client 0,3,0.3101786971092224,58.91803278688525,,
Adversarial Client 0,4,0.276917427778244,59.47540983606557,,
Adversarial Client 0,5,0.24218998849391937,60.032786885245905,,
Adversarial Client 0,6,0.2239467203617096,59.68852459016394,,
Adversarial Client 0,7,0.19822733104228973,60.34426229508197,,
Adversarial Client 0,8,0.19001388549804688,60.59016393442623,,
Adversarial Client 0,9,0.17672467231750488,60.63934426229508,,
Adversarial Client 0,10,0.16098935902118683,61.24590163934426,,
Adversarial Client 0,11,0.15323729813098907,60.885245901639344,,
Adversarial Client 0,12,0.1449873447418213,61.60655737704918,,
Adversarial Client 0,13,0.14082172513008118,61.52459016393443,,
Adversarial Client 0,14,0.13345445692539215,61.81967213114754,,
Adversarial Client 0,15,0.1252702921628952,61.81967213114754,,
Adversarial Client 0,16,0.1182648092508316,61.9344262295082,,
Adversarial Client 0,17,0.11708226799964905,62.0655737704918,,
Adversarial Client 0,18,0.11345165222883224,62.01639344262295,,
Adversarial Client 0,19,0.10054308921098709,61.967213114754095,,
Client 1,0,1.5120742321014404,50.75,,
Client 1,1,0.4928443133831024,58.44444444444444,,
Client 1,2,0.3209792375564575,59.75,,
Client 1,3,0.2687312662601471,60.44444444444444,,
Client 1,4,0.23300927877426147,61.083333333333336,,
Client 1,5,0.20537060499191284,61.47222222222222,,
Client 1,6,0.1836199164390564,61.72222222222222,,
Client 1,7,0.17403429746627808,61.861111111111114,,
Client 1,8,0.14800924062728882,62.111111111111114,,
Client 1,9,0.14875459671020508,62.166666666666664,,
Client 1,10,0.12858180701732635,62.22222222222222,,
Client 1,11,0.13096782565116882,62.416666666666664,,
Client 1,12,0.12360400706529617,62.47222222222222,,
Client 1,13,0.10901916027069092,62.55555555555556,,
Client 1,14,0.09981411695480347,62.80555555555556,,
