accuracy,client,client_trust_score,client_score
84.575,0,0.05000194169670435,0.11111112854008225
84.575,1,0.10555535636896603,0.11111115991223032
84.575,2,0.10555538617244577,0.11111097516513625
84.575,3,0.10555521066306513,0.11111094379298819
84.575,4,0.1055551808595854,0.11111146317632808
84.575,5,0.1055556742727498,0.11111112505428802
84.575,6,0.10555535305746828,0.11111150849165305
84.575,7,0.10555571732222054,0.11111102745204966
84.575,8,0.10555526033553134,0.11111066841524422
94.45833333333333,0,0.0015627548394091606,0.1111110027081125
94.45833333333333,1,0.11093736345091879,0.11111111288455926
94.45833333333333,2,0.11093747345518677,0.11111106427464518
94.45833333333333,3,0.11093742492123806,0.1111111902059746
94.45833333333333,4,0.1109375506557677,0.11111103359714203
94.45833333333333,5,0.11093739429167633,0.11111122855211115
94.45833333333333,6,0.11093758894197864,0.11111105629593969
94.45833333333333,7,0.11093741695500134,0.11111110334699074
94.45833333333333,8,0.11093746393252313,0.1111112081345249
96.325,0,4.884152010759822e-05,0.11111104977369284
96.325,1,0.11110562294112115,0.1111111498694428
96.325,2,0.1111057230319823,0.11111111420385007
96.325,3,0.11110568736813153,0.11111110095277252
96.325,4,0.11110567411770117,0.111111096686378
96.325,5,0.11110566985151504,0.11111121681704618
96.325,6,0.11110578997631583,0.11111103985698018
96.325,7,0.11110561302489284,0.11111099247769765
96.325,8,0.11110556564792438,0.11111123936213968
97.38333333333334,0,1.5264590943057412e-06,0.11111102495737339
97.38333333333334,1,0.11111085535093887,0.11111121973872455
97.38333333333334,2,0.11111105013199271,0.11111114784177027
97.38333333333334,3,0.11111097823514816,0.11111103504396519
97.38333333333334,4,0.11111086543751526,0.11111114584477527
97.38333333333334,5,0.11111097623815622,0.11111126156896038
97.38333333333334,6,0.11111109196216469,0.1111110062281971
97.38333333333334,7,0.11111083662179116,0.11111105959442455
97.38333333333334,8,0.11111088998793715,0.11111109918180928
97.88333333333334,0,9.541169914689772e-08,0.11111108797233435
97.88333333333334,1,0.11111107737103666,0.11111121439286573
97.88333333333334,2,0.11111120379155597,0.11111119044605702
97.88333333333334,3,0.11111117984474955,0.1111111366189464
97.88333333333334,4,0.11111112601764406,0.11111103592149982
97.88333333333334,5,0.11111102532020709,0.11111127371689188
97.88333333333334,6,0.11111126311557645,0.11111094440885819
97.88333333333334,7,0.11111093380757418,0.11111110255619733
97.88333333333334,8,0.11111109195489824,0.11111101396634925
