accuracy,client,client_trust_score,client_score
82.05,0,0.1,0.09363957597173145
82.05,1,0.1,0.10247349823321555
82.05,2,0.1,0.12897526501766785
82.05,3,0.1,0.09010600706713781
82.05,4,0.1,0.08303886925795052
82.05,5,0.1,0.1166077738515901
82.05,6,0.1,0.0706713780918728
82.05,7,0.1,0.10600706713780919
82.05,8,0.1,0.09363957597173145
82.05,9,0.1,0.11484098939929328
93.61666666666666,0,0.1,0.09363957597173145
93.61666666666666,1,0.1,0.10247349823321555
93.61666666666666,2,0.1,0.12897526501766785
93.61666666666666,3,0.1,0.09010600706713781
93.61666666666666,4,0.1,0.08303886925795052
93.61666666666666,5,0.1,0.1166077738515901
93.61666666666666,6,0.1,0.0706713780918728
93.61666666666666,7,0.1,0.10600706713780919
93.61666666666666,8,0.1,0.09363957597173145
93.61666666666666,9,0.1,0.11484098939929328
95.79166666666667,0,0.1,0.09363957597173145
95.79166666666667,1,0.1,0.10247349823321555
95.79166666666667,2,0.1,0.12897526501766785
95.79166666666667,3,0.1,0.09010600706713781
95.79166666666667,4,0.1,0.08303886925795052
95.79166666666667,5,0.1,0.1166077738515901
95.79166666666667,6,0.1,0.0706713780918728
95.79166666666667,7,0.1,0.10600706713780919
95.79166666666667,8,0.1,0.09363957597173145
95.79166666666667,9,0.1,0.11484098939929328
97.00833333333334,0,0.1,0.09363957597173145
97.00833333333334,1,0.1,0.10247349823321555
97.00833333333334,2,0.1,0.12897526501766785
97.00833333333334,3,0.1,0.09010600706713781
97.00833333333334,4,0.1,0.08303886925795052
97.00833333333334,5,0.1,0.1166077738515901
97.00833333333334,6,0.1,0.0706713780918728
97.00833333333334,7,0.1,0.10600706713780919
97.00833333333334,8,0.1,0.09363957597173145
97.00833333333334,9,0.1,0.11484098939929328
97.53333333333333,0,0.1,0.09363957597173145
97.53333333333333,1,0.1,0.10247349823321555
97.53333333333333,2,0.1,0.12897526501766785
97.53333333333333,3,0.1,0.09010600706713781
97.53333333333333,4,0.1,0.08303886925795052
97.53333333333333,5,0.1,0.1166077738515901
97.53333333333333,6,0.1,0.0706713780918728
97.53333333333333,7,0.1,0.10600706713780919
97.53333333333333,8,0.1,0.09363957597173145
97.53333333333333,9,0.1,0.11484098939929328
