accuracy,client,client_trust_score,client_score
83.46666666666667,0,0.053024090416419645,0.04453032533636312
83.46666666666667,1,0.10502367755913469,0.11392533507178736
83.46666666666667,2,0.1058099809175711,0.11477828438436023
83.46666666666667,3,0.10542981004055937,0.11067666848188062
83.46666666666667,4,0.10441264400157148,0.08768710542897028
83.46666666666667,5,0.10629188420089199,0.09484439819883249
83.46666666666667,6,0.1048705557143054,0.12660301941560215
83.46666666666667,7,0.10506920957087802,0.10110661205103542
83.46666666666667,8,0.10509902696342106,0.12504001333772435
83.46666666666667,9,0.10496912061524726,0.08080823829344401
94.325,0,0.0019240555502594652,0.0016025301575740226
94.325,1,0.1106408083681589,0.11902944177333771
94.325,2,0.11077847854222732,0.11917754991001794
94.325,3,0.11118008039490468,0.1157512264460818
94.325,4,0.11103395033664473,0.09247927062451723
94.325,5,0.11135345855524714,0.0985419730616374
94.325,6,0.11047999119401193,0.1322757062055701
94.325,7,0.11068532479864081,0.10563311831932279
94.325,8,0.11063581315576648,0.13054252600801272
94.325,9,0.11128803910413858,0.08496665749392823
96.275,0,6.815876299316701e-05,5.6754578494217724e-05
96.275,1,0.11078620226115675,0.11915583926277433
96.275,2,0.11096011401984086,0.11934288964577078
96.275,3,0.11133243075897337,0.11588064584402123
96.275,4,0.11136523207893809,0.09273182974556773
96.275,5,0.11155207009698107,0.09869286931003914
96.275,6,0.11071803075429308,0.13252731792846734
96.275,7,0.11099869085196973,0.10590549915605954
96.275,8,0.11069853778327463,0.13058363761137493
96.275,9,0.1115205326315793,0.08512271691743072
97.38333333333334,0,2.3965942686068204e-06,1.995488082827861e-06
97.38333333333334,1,0.1108576375364439,0.11922592305005995
97.38333333333334,2,0.11107855469523424,0.11946351653265348
97.38333333333334,3,0.1112140733632748,0.11575090167857646
97.38333333333334,4,0.1112737225292272,0.09265038732152422
97.38333333333334,5,0.11148854995415058,0.0986310888964139
97.38333333333334,6,0.11074293338322333,0.1325496235043247
97.38333333333334,7,0.11100086101455704,0.10590157565101951
97.38333333333334,8,0.11078878712875814,0.1306827019936572
97.38333333333334,9,0.1115524838008621,0.0851422858836877
97.8,0,1.6433525849432878e-07,1.3682856797476687e-07
97.8,1,0.1108138522944821,0.11917647463089454
97.8,2,0.11112453984232391,0.11951060836866145
97.8,3,0.11121454454774708,0.11574910192628642
97.8,4,0.11121975051611349,0.09260361612633373
97.8,5,0.1115332203776691,0.09866865547339788
97.8,6,0.11082024999976017,0.13263954040016276
97.8,7,0.11099382511988229,0.10589276783413692
97.8,8,0.11075337334335698,0.13063834434175756
97.8,9,0.1115264796234063,0.08512075406980073
