accuracy,client,client_trust_score,client_score
12.758333333333333,0,0.2,0.17198581560283688
12.758333333333333,1,0.2,0.13829787234042554
12.758333333333333,2,0.2,0.22340425531914893
12.758333333333333,3,0.2,0.2163120567375887
12.758333333333333,4,0.2,0.25
11.691666666666666,0,0.2,0.17198581560283688
11.691666666666666,1,0.2,0.13829787234042554
11.691666666666666,2,0.2,0.22340425531914893
11.691666666666666,3,0.2,0.2163120567375887
11.691666666666666,4,0.2,0.25
9.866666666666667,0,0.2,0.17198581560283688
9.866666666666667,1,0.2,0.13829787234042554
9.866666666666667,2,0.2,0.22340425531914893
9.866666666666667,3,0.2,0.2163120567375887
9.866666666666667,4,0.2,0.25
9.7,0,0.2,0.17198581560283688
9.7,1,0.2,0.13829787234042554
9.7,2,0.2,0.22340425531914893
9.7,3,0.2,0.2163120567375887
9.7,4,0.2,0.25
9.7,0,0.2,0.17198581560283688
9.7,1,0.2,0.13829787234042554
9.7,2,0.2,0.22340425531914893
9.7,3,0.2,0.2163120567375887
9.7,4,0.2,0.25
