client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,1.1882295608520508,54.333333333333336,,
Adversarial Client 0,1,0.5004521012306213,58.46376811594203,,
Adversarial Client 0,2,0.36556294560432434,59.10144927536232,,
Adversarial Client 0,3,0.3031146824359894,60.072463768115945,,
Adversarial Client 0,4,0.266107439994812,60.0,,
Adversarial Client 0,5,0.23705977201461792,60.927536231884055,,
Adversarial Client 0,6,0.2113046944141388,61.289855072463766,,
Adversarial Client 0,7,0.19323503971099854,61.34782608695652,,
Adversarial Client 0,8,0.17920279502868652,61.608695652173914,,
Adversarial Client 0,9,0.16490058600902557,61.78260869565217,,
Adversarial Client 0,10,0.1554129719734192,62.10144927536232,,
Adversarial Client 0,11,0.1453760862350464,62.14492753623188,,
Adversarial Client 0,12,0.14162951707839966,62.2463768115942,,
Adversarial Client 0,13,0.1272495985031128,62.27536231884058,,
Adversarial Client 0,14,0.13263346254825592,62.507246376811594,,
Adversarial Client 0,15,0.12264460325241089,62.594202898550726,,
Adversarial Client 0,16,0.11222611367702484,62.52173913043478,,
Adversarial Client 0,17,0.11161769181489944,62.6231884057971,,
Adversarial Client 0,18,0.10395511239767075,62.82608695652174,,
Adversarial Client 0,19,0.10348481684923172,62.82608695652174,,
Client 1,0,1.332532286643982,54.62686567164179,,
Client 1,1,0.5595628619194031,57.343283582089555,,
Client 1,2,0.39611145853996277,58.492537313432834,,
Client 1,3,0.33427929878234863,59.35820895522388,,
Client 1,4,0.29213789105415344,59.73134328358209,,
Client 1,5,0.2523902952671051,60.19402985074627,,
Client 1,6,0.23413492739200592,60.8955223880597,,
Client 1,7,0.2081412523984909,60.8955223880597,,
Client 1,8,0.19600139558315277,61.23880597014925,,
Client 1,9,0.1840369552373886,61.343283582089555,,
Client 1,10,0.16627080738544464,61.492537313432834,,
Client 1,11,0.1546037793159485,61.701492537313435,,
Client 1,12,0.14136037230491638,61.8955223880597,,
Client 1,13,0.13245001435279846,62.014925373134325,,
Client 1,14,0.12633053958415985,62.059701492537314,,
Client 1,15,0.11921671032905579,62.40298507462686,,
Client 1,16,0.11100050061941147,62.38805970149254,,
Client 1,17,0.10344212502241135,62.46268656716418,,
Client 1,18,0.10265862941741943,62.53731343283582,,
Client 1,19,0.09554580599069595,62.73134328358209,,
Client 2,0,1.490636944770813,53.43636363636364,,
Client 2,1,0.6117330193519592,56.8,,
Client 2,2,0.43004998564720154,58.527272727272724,,
Client 2,3,0.35528579354286194,59.018181818181816,,
Client 2,4,0.3240754008293152,59.763636363636365,,
Client 2,5,0.28744810819625854,59.945454545454545,,
Client 2,6,0.2561112642288208,60.41818181818182,,
Client 2,7,0.2388012558221817,60.981818181818184,,
Client 2,8,0.2238287627696991,61.127272727272725,,
Client 2,9,0.20769743621349335,61.4,,
Client 2,10,0.18486200273036957,61.69090909090909,,
Client 2,11,0.17766980826854706,61.69090909090909,,
Client 2,12,0.16308268904685974,62.054545454545455,,
Client 2,13,0.15162135660648346,62.2,,
Client 2,14,0.14800535142421722,62.27272727272727,,
Client 2,15,0.13942566514015198,62.236363636363635,,
Client 2,16,0.12969766557216644,62.45454545454545,,
Client 2,17,0.13247562944889069,62.49090909090909,,
Client 2,18,0.12317905575037003,62.58181818181818,,
Client 2,19,0.11335927993059158,62.72727272727273,,
Client 3,0,1.5112189054489136,50.71153846153846,,
Client 3,1,0.5942625999450684,55.67307692307692,,
Client 3,2,0.4102484881877899,57.34615384615385,,
Client 3,3,0.35363996028900146,58.11538461538461,,
Client 3,4,0.31033754348754883,58.96153846153846,,
Client 3,5,0.2643365263938904,59.25,,
Client 3,6,0.2492486536502838,59.92307692307692,,
Client 3,7,0.22089120745658875,59.90384615384615,,
Client 3,8,0.2055715173482895,60.53846153846154,,
Client 3,9,0.18829025328159332,60.51923076923077,,
Client 3,10,0.17435088753700256,60.94230769230769,,
Client 3,11,0.16286343336105347,61.09615384615385,,
